slug,title,category,difficulty,minutes,description
tts-basics,Text‑to‑Speech Basics: Natural Voice Without the Drama,Audio AI,Beginner,20,"Understand TTS quality factors, voice stability, and clean scripts for great narration."
audiobook-pipeline,Audiobook Pipeline: From Script to Chapters to Files,Audio AI,Intermediate,30,A practical process for generating and organizing audio output with consistent volume and pacing.
ai-coding-workflow,AI‑Assisted Coding Workflow (Safe and Repeatable),Coding AI,Beginner,30,"How to use AI on real projects: diffs, constraints, and verifying changes without chaos."
debugging-with-ai,Debugging with AI: From Error Log to Fix Plan,Coding AI,Intermediate,30,"Use AI to interpret logs, propose fixes, and validate outcomes systematically."
testing-with-ai,Testing with AI: Generate Useful Tests and Edge Cases,Coding AI,Intermediate,25,"Create tests that actually catch bugs, including edge cases and regressions."
code-review-with-ai,Code Review with AI: Catch Issues Before They Ship,Coding AI,Intermediate,25,"Use AI as a reviewer: readability, safety, performance, and correctness checks."
agents-what-they-are,Agentic AI: What Agents Are (and When They’re Overkill),Agentic Flows,Beginner,20,"A grounded definition of agents, tools, loops, and the situations where simple prompts are better."
human-in-the-loop-loops,Human‑in‑the‑Loop Loops: Automate Without Losing Control,Agentic Flows,Intermediate,25,"Build a safe loop where AI proposes, you approve, and the system tracks progress and errors."
judge-loop-mini,Generate → Judge → Fix: The Simplest Agentic Loop,Agentic Flows,Intermediate,30,A minimal quality loop that boosts outputs using scoring and targeted revisions.
safe-use-and-risk,"Safe Use & Risk: Privacy, Permissions, and Common Pitfalls",Safety & Ethics,Beginner,20,"Practical safety: what not to upload, how to protect personal data, and sane defaults."
copyright-and-licensing-basics,Copyright & Licensing Basics for AI Assets,Safety & Ethics,Intermediate,20,"Understand licenses, attribution, and how to share models/assets responsibly."
